Company Name,Industry group,ISIN code,NSE symbol,Date,Total income from continuing operations,Net sales,Total expenses,Interest expenses,Depreciation,Total tax provision,Net Profit/(Loss) for the period from continuing operations (after tax),Reported Profit after tax,PBT,PBDT,PBDIT,PBIT net of P&E,Earnings per share before extraordinary item,Closing Price,Date.1,Closing Price.1,Shares Outstanding,Market Capitalisation,EPS,P/E,Number of Transactions,Enterprise value,Industry P/E,Beta,industry_score
Granules India Ltd.,Drugs & pharmaceuticals,INE101D01020,GRANULES,31-12-2022,1032.39,1032.39,874.51,11.76,38.32,47.81,139.8,139.8,187.61,225.93,237.69,199.37,5.75,583.3,,295.9,242042756,7162.04515,20.942994,14.12883,665,7880.45515,39.53,1.117941,-0.19195911292555537
Graphite India Ltd.,Refractories,INE371A01025,GRAPHITE,31-12-2022,708.0,669.0,787.0,2.0,10.0,30.0,92.0,92.0,122.0,132.0,134.0,124.0,4.65,549.3,,349.7,195375594,6832.284522,20.495907,17.061943,1206,7080.234522,15.32,1.69049,-0.28559739105305165
Grasim Industries Ltd.,Man-made filaments & fibres,INE047A01021,GRASIM,31-12-2022,6325.6,6195.6,6018.61,89.2,275.51,-15.07,257.36,257.36,242.29,517.8,607.0,304.2,3.93,2814.2,,1590.5,658401686,104718.788158,37.668342,42.223785,1465,-26015.731842,65.07,1.289408,-0.2770221589770385
Grauer & Weil (India) Ltd.,Other chemical products,INE266D01021,GRAUWEIL,31-12-2022,256.02,250.51,229.56,0.69,5.1,12.07,34.5,34.5,46.57,51.67,52.36,47.26,1.52,74.97,,87.55,226705750,1984.808841,4.712276,18.579134,557,1734.768841,37.65,1.137794,-0.24540235502819857
Gravita India Ltd.,Other non-ferrous metals & metal products,INE024L01027,GRAVITA,31-12-2022,707.1,706.76,698.77,7.63,2.81,5.09,17.32,17.32,22.41,25.22,32.85,39.01,2.51,1809.6,,518.45,69037914,3579.270651,10.475403,49.492127,1736,3900.600651,15.76,1.428257,1.5320458796446645
Great Eastern Shipping Co. Ltd.,Shipping transport services,INE017A01032,GESHIP,31-12-2022,1304.11,1212.78,700.43,63.83,117.46,11.36,603.68,603.68,615.04,732.5,796.33,678.89,42.28,1095.35,,639.95,142767161,9136.384468,123.904544,5.164863,923,10544.544468,6.64,0.835017,-0.2678255080248566
Greaves Cotton Ltd.,Engines,INE224A01026,GREAVESCOT,31-12-2022,373.57,365.25,347.34,0.51,9.23,9.45,27.38,27.38,36.83,46.06,46.57,38.02,1.18,180.45,,144.75,231562813,3351.871718,3.380076,42.824476,1374,2930.061718,34.43,1.310446,-0.25261377535247476
Greenlam Industries Ltd.,Wood & wood products,INE544R01021,GREENLAM,31-12-2022,467.34,457.69,444.32,5.89,15.09,7.28,26.3,26.3,33.58,48.67,54.56,39.47,2.13,248.05,,312.7,126992550,3971.057038,7.403584,42.236301,363,4141.667038,23.82,0.975336,-0.266587713075848
Greenpanel Industries Ltd.,Wood & wood products,INE08ZM01014,GREENPANEL,31-12-2022,420.16,420.16,406.07,11.35,18.01,10.13,17.49,17.49,27.62,45.63,56.98,69.36,1.43,226.85,,325.0,122627395,3985.390337,22.196508,14.641943,3632,4062.910337,23.82,1.128974,-0.266587713075848
Greenply Industries Ltd.,Wood & wood products,INE461C01038,GREENPLY,31-12-2022,425.73,399.36,376.12,1.08,5.24,2.72,47.94,47.94,50.66,55.9,56.98,31.03,3.9,246.75,,140.8,122872645,1730.046842,8.254889,17.05656,481,1760.326842,23.82,1.353405,-0.266587713075848
Grindwell Norton Ltd.,Other construction materials,INE536A01023,GRINDWELL,31-12-2022,609.17,600.18,552.85,3.93,15.06,28.38,80.51,80.51,108.89,123.95,127.88,112.82,7.27,1573.9,,1989.65,110720000,22029.4048,31.547146,63.069097,1048,21444.3748,43.29,0.711981,-0.22983335779461173
Gufic Biosciences Ltd.,Drugs & pharmaceuticals,INE742B01025,GUFICBIO,31-12-2022,178.23,177.47,166.88,2.35,5.64,6.91,20.34,20.34,27.25,32.89,35.24,29.6,2.1,348.15,,217.1,96944506,2104.665225,8.436785,25.73255,455,2157.345225,39.53,1.32666,-0.19195911292555537
Gujarat Alkalies & Chemicals Ltd.,Caustic soda,INE186A01019,GUJALKALI,31-12-2022,1128.98,1122.79,1018.95,7.56,79.18,69.85,113.95,113.95,183.8,262.98,270.54,191.36,15.52,505.85,,686.75,73436928,5043.28103,93.06898,7.378935,450,3972.45103,7.56,1.313006,-0.3237664354271137
Gujarat Ambuja Exports Ltd.,Other agricultural products,INE036B01030,GAEL,31-12-2022,1157.74,1129.86,1113.13,2.48,23.8,27.2,81.92,81.92,109.12,132.92,135.4,111.6,3.57,123.8,,257.65,229335330,5908.824777,17.989814,14.321993,1944,5459.704777,20.22,1.22791,-0.2965763986089119
Gujarat Fluorochemicals Ltd.,Polymers,INE09N301011,FLUOROCHEM,31-12-2022,1495.97,1440.27,1175.02,34.23,55.16,122.65,363.98,363.98,486.63,541.79,576.02,520.86,33.13,3612.6,,2783.5,109850000,30576.7475,107.138826,25.980311,2602,31706.1975,18.93,1.381591,-0.2527023583107275
Gujarat Gas Ltd.,Natural gas trading & distribution,INE844O01030,GUJGASLTD,31-12-2022,3716.28,3684.29,3348.24,7.64,109.27,126.14,371.26,371.26,497.4,606.67,614.31,505.04,5.39,395.05,,456.75,688390125,31442.218959,23.142982,19.736005,1272,32049.958959,26.49,0.790802,0.12937326070838082
Gujarat Industries Power Co. Ltd.,Conventional electricity,INE162A01010,GIPCL,31-12-2022,395.59,376.47,361.49,10.16,42.1,15.15,34.1,34.1,49.25,91.35,101.51,59.41,2.25,148.85,,83.3,151251188,1259.922396,11.781726,7.070272,385,1216.722396,12.17,0.986907,-0.03716679162073462
Gujarat Mineral Devp. Corpn. Ltd.,Coal & lignite,INE131A01031,GMDCLTD,31-12-2022,911.47,855.41,656.12,1.73,20.51,87.81,265.1,265.1,352.91,373.42,375.15,371.11,8.34,516.65,,141.4,318000000,4496.52,31.399057,4.50332,2388,3206.43,4.5,1.373862,-0.3145059225713302
Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,Other chemical products,INE113A01013,GNFC,31-12-2022,2750.0,2673.0,2466.0,1.0,76.0,114.0,324.0,324.0,438.0,514.0,515.0,439.0,20.9,485.9,,550.7,155418783,8558.91238,113.694752,4.843671,2825,6981.35238,37.65,1.396913,-0.24540235502819857
Gujarat Pipavav Port Ltd.,Shipping transport infrastructure services,INE517F01014,GPPL,31-12-2022,262.38,249.26,183.03,1.91,29.61,28.24,79.35,79.35,107.59,137.2,139.11,123.9,1.64,193.55,,93.9,483439910,4539.500755,6.323433,14.849528,2196,3730.800755,-95.73,0.704648,0.7050797938604265
Gujarat State Fertilizers & Chemicals Ltd.,Fertilisers,INE026A01025,GSFC,31-12-2022,3459.0,3421.13,2748.25,6.14,45.94,-77.08,407.52,407.52,330.44,376.38,382.52,316.38,10.23,173.6,,129.3,398477530,5152.314463,32.147108,4.022135,3624,-1788.035537,10.11,1.441373,-0.2984772216688546
Gujarat State Petronet Ltd.,Natural gas trading & distribution,INE246F01010,GSPL,31-12-2022,415.44,402.41,244.51,1.09,48.94,62.01,170.93,170.93,232.94,281.88,282.97,234.03,3.03,289.0,,268.9,564211376,15171.643901,15.670545,17.159581,1307,-3563.656099,26.49,0.802841,0.12937326070838082
